timestamp,latitude,longitude,speedMps,Calc_deg_servo_1,Calc_deg_servo_2,roll,pitch,yaw,zigzag_yaw,rpm_prop_1,rpm_prop_2,battery_1,battery_2,mode_auto
1993.731,-7.287184,112.796194,0.15,-40.0,-39.93,5.13,0.18,324.99,0.0,720,660,11.94,10.91,0
1993.831,-7.287184,112.796194,0.2,-40.06,-40.11,5.14,0.18,324.87,0.0,900,839,11.97,10.89,0
1993.931,-7.287184,112.796194,0.13,-40.41,-40.17,5.15,0.19,324.78,0.0,1079,1020,11.88,10.9,0
1994.031,-7.287184,112.796194,0.16,-39.94,-39.87,5.15,0.21,324.73,0.0,1259,1259,11.86,10.83,0
1994.131,-7.287184,112.796194,0.18,-40.24,-40.47,5.15,0.24,324.73,0.0,1440,1440,11.97,10.85,0
1994.231,-7.287184,112.796193,0.19,-40.24,-39.99,5.15,0.28,324.78,0.0,1679,1620,11.97,10.85,0
1994.331,-7.287183,112.796193,0.18,-40.06,-40.17,5.2,0.31,324.89,0.0,1859,1800,11.85,10.85,0
1994.431,-7.287183,112.796193,0.18,-39.82,-39.93,5.3,0.34,325.06,0.0,1920,1920,11.82,10.86,0
1994.531,-7.287183,112.796193,0.2,-38.27,-40.11,5.34,0.36,325.27,0.0,1979,2040,11.86,10.95,0
1994.631,-7.287183,112.796193,0.19,-40.18,-40.11,5.32,0.37,325.55,0.0,2040,2040,11.91,10.9,0
1994.731,-7.287183,112.796193,0.22,-40.41,-39.99,5.25,0.39,325.88,0.0,2100,2100,11.93,10.85,0
1994.831,-7.287183,112.796193,0.28,-40.06,-40.11,5.15,0.4,326.27,0.0,2100,2159,11.93,10.85,0
1994.931,-7.287183,112.796192,0.25,-40.06,-40.11,5.08,0.41,326.7,0.0,2159,2220,11.95,10.86,0
1995.031,-7.287182,112.796192,0.28,-39.46,-39.16,5.04,0.43,327.18,0.0,2220,2159,12.0,10.83,0
1995.131,-7.287182,112.796192,0.3,-40.53,-39.99,5.07,0.44,327.73,0.0,2220,2220,11.88,10.9,0
1995.231,-7.287182,112.796192,0.28,-39.82,-39.99,5.15,0.45,328.34,0.0,2220,2279,11.97,10.9,0
1995.331,-7.287182,112.796191,0.32,-40.06,-39.99,5.21,0.47,329.0,0.0,2220,2340,11.93,10.85,0
1995.431,-7.287182,112.796191,0.32,-39.58,-40.11,5.23,0.48,329.7,0.0,2159,2279,12.0,10.91,0
1995.531,-7.287182,112.796191,0.3,-40.18,-40.29,5.2,0.49,330.46,0.0,2220,2279,11.97,10.85,0
1995.631,-7.287181,112.79619,0.36,-40.0,-39.99,5.15,0.49,331.27,0.0,2220,2340,11.79,10.89,0
1995.731,-7.287181,112.79619,0.35,-40.06,-40.05,5.1,0.51,332.14,0.0,2220,2340,11.97,10.92,0
1995.831,-7.287181,112.79619,0.36,-40.12,-40.17,5.05,0.51,333.05,0.0,2220,2340,12.04,10.89,0
1995.931,-7.287181,112.79619,0.37,-40.41,-40.17,5.04,0.51,334.01,0.0,2220,2340,11.88,10.89,0
1996.031,-7.28718,112.796189,0.41,-40.06,-40.29,5.05,0.51,335.03,0.0,2220,2340,11.87,10.86,0
1996.131,-7.28718,112.796189,0.36,-40.06,-40.05,5.07,0.5,336.11,0.0,2220,2340,11.81,10.89,0
1996.231,-7.28718,112.796189,0.37,-40.18,-40.29,5.06,0.51,337.23,0.0,2220,2340,11.97,10.89,0
1996.331,-7.28718,112.796188,0.43,-39.82,-39.93,5.02,0.51,338.38,0.0,2220,2279,11.8,10.9,0
1996.431,-7.28718,112.796188,0.42,-40.24,-40.7,4.95,0.52,339.59,0.0,2279,2279,11.93,10.89,0
1996.531,-7.287179,112.796188,0.41,-40.24,-40.17,4.9,0.53,340.84,0.0,2279,2279,11.83,10.89,0
1996.631,-7.287179,112.796187,0.48,-40.06,-40.29,4.88,0.53,342.13,0.0,2220,2279,11.87,10.95,0
1996.731,-7.287179,112.796187,0.46,-37.5,-40.11,4.87,0.53,343.44,0.0,2220,2279,11.97,10.84,0
1996.831,-7.287179,112.796187,0.38,-40.06,-40.35,4.87,0.53,344.8,0.0,2279,2220,11.86,10.89,0
1996.931,-7.287179,112.796186,0.51,-38.81,-40.11,4.87,0.52,346.19,0.0,2279,2220,11.94,10.89,0
1997.031,-7.287178,112.796186,0.45,-40.06,-40.29,4.85,0.52,347.62,0.0,2220,2279,11.97,10.86,0
1997.131,-7.287178,112.796186,0.49,-40.3,-40.17,4.79,0.53,349.09,0.0,2279,2279,11.92,10.89,0
1997.231,-7.287178,112.796185,0.48,-40.24,-39.87,4.71,0.53,350.57,0.0,2220,2279,11.88,10.84,0
1997.331,-7.287178,112.796185,0.46,-39.34,-39.46,4.63,0.53,352.07,0.0,2220,2220,11.94,10.89,0
1997.431,-7.287178,112.796184,0.54,-40.65,-39.99,4.58,0.52,353.61,0.0,2220,2279,11.82,10.85,0
1997.531,-7.287177,112.796184,0.5,-40.06,-40.17,4.56,0.53,355.18,0.0,2159,2279,11.85,10.86,0
