timestamp (s),latitude (°),longitude (°),speedMps (m/s),Calc_deg_servo_1 (°),Calc_deg_servo_2 (°),yaw (°),heading_setpoint (°),heading_error (°),rudder_cmd (°),track_wp_index,distance_to_wp (m),accel_x (g),accel_y (g),accel_z (g),gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s),rpm_prop_1 (rpm),rpm_prop_2 (rpm),battery_1 (V),battery_2 (V),mode_auto
83.904,-7.285403,112.790251,0.00,1.23,0.10,270.82,270.82,0.00,0.24,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.42,12.44,0
84.004,-7.285403,112.790251,0.00,1.35,-0.25,270.82,270.82,0.00,0.32,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.32,12.42,0
84.104,-7.285403,112.790251,0.00,1.29,1.22,270.82,270.82,0.00,0.24,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.39,12.44,0
84.204,-7.285403,112.790251,0.00,1.29,-0.07,270.82,270.82,0.00,0.24,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.47,12.47,0
84.304,-7.285403,112.790251,0.00,0.21,0.33,270.82,270.82,0.00,0.32,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.37,12.42,0
84.404,-7.285403,112.790251,0.00,1.23,0.10,270.82,270.82,0.00,0.32,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.47,12.47,0
84.504,-7.285403,112.790251,0.00,1.46,-0.31,270.82,270.82,0.00,0.40,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.29,12.45,0
84.604,-7.285403,112.790251,0.00,0.45,-0.90,270.82,270.82,0.00,0.24,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.49,12.46,0
84.704,-7.285403,112.790251,0.00,1.64,0.33,270.82,270.82,0.00,0.24,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.30,12.39,0
84.804,-7.285403,112.790251,0.00,1.52,-0.31,270.82,270.82,0.00,0.32,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.32,12.44,0
84.904,-7.285403,112.790251,0.00,0.45,0.39,270.82,270.82,0.00,0.32,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.49,12.48,0
85.004,-7.285403,112.790251,0.00,1.29,-0.07,270.82,270.82,0.00,0.32,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.36,12.47,0
85.104,-7.285403,112.790251,0.00,0.99,0.51,270.82,270.82,0.00,0.32,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.30,12.47,0
85.204,-7.285403,112.790251,0.00,1.46,3.24,270.82,270.82,0.00,0.32,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.49,12.50,0
85.304,-7.285403,112.790251,0.00,0.81,1.64,270.82,270.82,0.00,0.24,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.35,12.47,0
85.404,-7.285403,112.790251,0.00,1.17,0.10,270.82,270.82,0.00,0.24,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.43,12.48,0
85.504,-7.285403,112.790251,0.00,0.81,0.15,270.82,270.82,0.00,1.93,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.30,12.44,0
85.604,-7.285403,112.790251,0.00,4.20,0.93,270.82,270.82,0.00,0.24,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.32,12.47,0
85.704,-7.285403,112.790251,0.00,6.22,2.83,270.82,270.82,0.00,0.32,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.36,12.37,0
85.804,-7.285403,112.790251,0.00,0.45,0.10,270.82,270.82,0.00,0.24,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.39,12.44,0
85.904,-7.285403,112.790251,0.00,1.29,-0.07,270.82,270.82,0.00,17.41,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.39,12.44,0
86.004,-7.285403,112.790251,0.00,12.89,11.68,270.82,270.82,0.00,40.00,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.39,12.43,0
86.104,-7.285403,112.790251,0.00,30.86,30.21,270.82,270.82,0.00,40.00,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.53,12.37,0
86.204,-7.285403,112.790251,0.00,42.40,40.01,270.82,270.82,0.00,40.00,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.49,12.43,0
86.304,-7.285403,112.790251,0.00,37.70,39.36,270.82,270.82,0.00,40.00,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.46,12.45,0
86.404,-7.285403,112.790251,0.00,40.38,40.01,270.82,270.82,0.00,40.00,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.58,12.45,0
86.504,-7.285403,112.790251,0.00,40.02,40.01,270.82,270.82,0.00,40.00,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.51,12.45,0
86.604,-7.285403,112.790251,0.00,40.20,39.36,270.82,270.82,0.00,32.66,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.26,12.44,0
86.704,-7.285403,112.790251,0.00,39.19,35.62,270.82,270.82,0.00,-0.08,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.49,12.42,0
86.804,-7.285403,112.790251,0.00,36.09,24.63,270.82,270.82,0.00,-17.01,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.51,12.08,0
86.904,-7.285403,112.790251,0.00,7.24,3.60,270.82,270.82,0.00,-39.83,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.47,12.21,0
87.004,-7.285403,112.790251,0.00,-16.79,-20.33,270.82,270.82,0.00,-39.91,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.37,12.32,0
87.104,-7.285403,112.790251,0.00,-33.93,-38.33,270.82,270.82,0.00,-39.75,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.49,12.44,0
87.204,-7.285403,112.790251,0.00,-39.28,-40.23,270.82,270.82,0.00,-40.00,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.42,12.47,0
87.304,-7.285403,112.790251,0.00,-39.40,-40.11,270.82,270.82,0.00,-39.83,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.53,12.43,0
87.404,-7.285403,112.790251,0.00,-40.06,-40.76,270.82,270.82,0.00,-37.58,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.44,12.47,0
87.504,-7.285403,112.790251,0.00,-35.18,-38.92,270.82,270.82,0.00,4.19,0,0.0,-0.29,0.10,0.95,0.00,0.00,0.00,0,0,12.30,12.39,0
