timestamp,latitude,longitude,speedMps,Calc_deg_servo_1,Calc_deg_servo_2,roll,pitch,yaw,zigzag_yaw,rpm_prop_1,rpm_prop_2,battery_1,battery_2,mode_auto
2351.795,-7.282286,112.797301,3.27,-37.20,5.38,40.04,129.32,252.00,2.64,6150,1411,11.01,12.42,1
2351.800,-7.282300,112.796650,1.40,26.40,-22.16,149.27,13.30,254.25,-11.48,27410,7375,10.01,10.38,2
2351.805,-7.281966,112.796499,2.54,-32.72,-1.77,39.81,-101.05,256.50,-9.02,20995,6087,12.40,12.36,2
2351.810,-7.281772,112.796349,3.20,-17.33,-23.59,56.23,159.64,258.75,21.26,28766,916,11.13,10.65,0
2351.815,-7.282073,112.797085,1.43,7.90,-6.09,-6.42,9.88,261.00,-23.11,9539,8670,10.21,11.97,0
2351.820,-7.281751,112.796488,1.56,15.33,17.86,158.50,-110.13,263.25,-2.10,9467,22886,11.65,10.78,2
2351.825,-7.281172,112.796442,0.92,9.61,-26.48,-179.77,54.09,265.50,3.14,26819,15774,12.25,11.37,4
2351.830,-7.281184,112.796957,1.68,16.72,-24.27,18.69,-105.56,267.75,-19.11,26076,16573,10.21,11.08,2
2351.835,-7.281858,112.797060,0.07,-11.44,-35.11,148.49,-173.14,270.00,-16.48,8437,18752,11.93,12.07,3
2351.840,-7.281632,112.796866,0.50,35.94,3.43,111.44,-42.41,272.25,-16.69,14085,20097,10.63,11.49,1
2351.845,-7.281476,112.796229,0.03,-11.22,19.28,-101.24,133.61,274.50,-5.49,3136,2894,12.27,11.00,2
2351.850,-7.281068,112.796677,1.36,-20.23,-9.95,39.67,110.18,276.75,-13.02,7106,15365,10.16,12.48,1
2351.855,-7.281172,112.796559,2.83,18.47,7.53,169.11,-84.82,279.00,28.88,1338,21645,12.23,12.23,4
2351.860,-7.280755,112.797134,1.37,-15.55,-6.44,109.83,21.55,281.25,11.25,11396,5672,11.32,11.33,3
2351.865,-7.280740,112.796285,0.50,15.75,-9.10,174.24,64.68,283.50,15.43,8659,6405,11.61,11.59,4
2351.870,-7.280687,112.796596,1.18,-20.25,-1.23,34.06,-46.84,285.75,26.14,10868,27516,10.19,12.21,3
2351.875,-7.280579,112.796874,3.05,-37.32,-13.27,19.51,96.69,288.00,6.36,17586,19599,11.23,12.08,3
2351.880,-7.280983,112.797066,1.71,35.10,33.73,122.02,-96.64,290.25,2.01,16401,16660,12.14,10.31,2
2351.885,-7.280952,112.796654,0.38,-7.24,16.58,148.04,115.20,292.50,-4.05,27457,1764,12.24,10.72,2
2351.890,-7.280938,112.797071,0.91,-29.92,23.94,42.71,-30.88,294.75,-8.29,11249,7894,11.04,10.71,2
2351.895,-7.280605,112.797281,2.53,-3.46,25.98,-166.47,33.34,297.00,-32.73,12587,18422,11.49,12.17,2
2351.900,-7.280741,112.797191,0.45,12.83,23.34,127.32,-172.39,299.25,-3.10,14835,3409,10.28,10.86,4
2351.905,-7.280386,112.797015,2.79,3.74,-19.29,-161.75,-38.55,301.50,13.42,19166,26314,12.29,11.03,4
2351.910,-7.280272,112.797310,1.12,-14.92,-17.84,169.15,49.73,303.75,-25.83,16244,27096,11.35,12.09,4
2351.915,-7.280111,112.797044,2.60,17.54,-26.20,130.28,39.63,306.00,-0.04,28251,17792,11.30,10.32,1
2351.920,-7.279527,112.796574,1.06,-6.34,-16.11,8.61,147.11,308.25,-24.96,28443,6578,12.00,11.64,0
2351.925,-7.279620,112.797178,0.64,-30.56,-1.55,82.54,59.95,310.50,9.74,9638,9901,11.27,10.71,0
2351.930,-7.280160,112.796952,1.20,14.77,-6.83,-147.31,1.31,312.75,32.80,25509,2891,11.06,10.45,0
2351.935,-7.279775,112.796945,1.59,25.47,-2.40,81.23,-119.34,315.00,10.38,10810,19795,10.52,11.89,3
2351.940,-7.279626,112.796778,2.66,28.81,-33.78,-73.19,95.43,317.25,14.83,24092,19650,12.06,12.08,1
2351.945,-7.279644,112.797179,1.17,-3.35,-15.96,-138.50,164.45,319.50,-19.14,18635,21408,10.38,11.99,3
2351.950,-7.279744,112.797713,0.22,19.90,-1.26,54.08,-76.15,321.75,-5.57,27962,15858,10.41,12.48,2
2351.955,-7.279024,112.797050,1.04,-35.90,18.28,74.15,66.35,324.00,31.10,15288,15785,11.58,10.93,4
2351.960,-7.278963,112.797603,2.99,-15.49,-7.38,-23.27,-101.37,326.25,19.63,17394,18180,12.53,11.98,1
2351.965,-7.279168,112.797618,3.14,-17.60,7.33,-165.59,-153.56,-326.86,0.95,27994,25717,12.25,12.20,2
2351.970,-7.279633,112.797466,1.06,-29.47,-2.75,-145.10,-69.01,-324.61,18.48,21736,3617,11.72,11.04,0
2351.975,-7.279613,112.797541,1.10,13.39,0.37,-164.93,-63.52,-322.36,29.99,12958,14974,12.26,12.35,0
2351.980,-7.279702,112.797385,2.62,19.44,-0.11,-101.57,151.97,-320.11,-16.47,9317,27737,10.66,12.59,4
