timestamp,latitude,longitude,speedMps,Calc_deg_servo_1,Calc_deg_servo_2,roll,pitch,yaw,zigzag_yaw,rpm_prop_1,rpm_prop_2,battery_1,battery_2,mode_auto
2025.545,-7.279818,112.797431,2.99,13.50,-23.32,-147.10,-97.47,319.50,-15.68,9868,13348,10.84,10.79,2
2025.550,-7.279831,112.797029,3.03,-35.91,9.01,-175.11,97.35,321.75,25.74,12377,21439,12.25,11.46,4
2025.555,-7.279584,112.797477,3.03,15.08,-37.01,180.00,-78.22,324.00,-30.00,8355,17232,10.46,10.53,4
2025.560,-7.279791,112.797259,2.88,32.53,-7.91,162.94,-12.13,326.25,-15.94,10002,21052,10.01,10.55,3
2025.565,-7.279653,112.797503,2.14,-25.69,8.88,-141.83,-121.65,-326.86,-26.67,12850,22754,11.25,11.38,2
2025.570,-7.279173,112.797978,2.69,-7.67,-16.36,151.02,35.14,-324.61,-3.98,26986,9938,11.76,12.01,0
2025.575,-7.279049,112.797945,1.05,23.11,-31.28,174.06,-55.58,-322.36,14.44,273,7253,12.32,11.67,3
2025.580,-7.279577,112.797508,2.45,7.02,-39.44,-81.72,55.72,-320.11,-0.01,23564,19306,12.57,10.08,2
2025.585,-7.278681,112.798188,2.30,5.06,-17.46,-161.27,-101.71,-317.86,19.43,16324,13835,10.26,11.85,1
2025.590,-7.279617,112.798003,3.16,-5.17,-24.01,-146.29,101.15,-315.61,21.87,14402,25187,11.07,12.42,2
2025.595,-7.279161,112.797950,1.68,16.34,-39.75,-115.04,117.32,-313.36,-28.21,431,23295,12.35,10.96,1
2025.600,-7.279089,112.798623,3.35,24.19,-12.55,-39.81,170.43,-311.11,15.66,9926,25126,12.27,10.23,1
2025.605,-7.279229,112.798027,1.24,24.45,26.38,-168.37,8.33,-308.86,-10.94,28621,29518,11.11,10.12,0
2025.610,-7.278836,112.798055,0.14,-10.70,-0.05,-3.21,-20.18,-306.61,-24.21,10781,26781,10.68,12.18,0
2025.615,-7.279436,112.798213,1.85,14.87,8.66,-152.31,-159.03,-304.36,-13.08,10013,6550,10.77,10.31,4
2025.620,-7.278932,112.798210,2.82,-19.50,18.26,-51.14,-83.97,-302.11,27.23,10538,20849,12.26,10.24,3
2025.625,-7.278840,112.798490,0.52,-14.40,-25.11,166.87,140.59,-299.86,9.46,20945,1150,11.40,12.02,1
2025.630,-7.278797,112.799250,2.81,21.29,24.57,30.10,90.56,-297.61,-5.97,8752,4392,11.76,10.05,1
2025.635,-7.280349,112.798899,3.35,14.78,3.43,-105.84,-10.12,0.00,25.60,15638,22327,10.46,10.58,4
2025.640,-7.280179,112.798907,2.36,9.75,-16.27,90.45,-16.27,2.25,33.56,8833,8512,11.94,11.98,0
2025.645,-7.280907,112.799474,2.05,14.28,31.42,-105.66,60.85,4.50,13.70,27351,24363,11.84,12.54,0
2025.650,-7.280140,112.798657,0.62,18.30,-25.60,-127.07,-129.62,6.75,-4.58,29071,39,11.25,11.26,0
2025.655,-7.280762,112.799469,0.98,17.19,22.43,-88.15,-41.08,9.00,-21.26,17494,799,10.54,10.04,3
2025.660,-7.280442,112.799019,0.12,-6.23,16.32,94.17,117.75,11.25,-27.99,10114,4932,12.02,10.08,2
2025.665,-7.280734,112.799183,1.74,-18.74,16.46,72.20,-0.33,13.50,-24.01,6816,20025,11.57,11.76,3
2025.670,-7.280685,112.798755,3.34,-26.84,16.32,-137.26,-17.85,15.75,9.09,12853,10145,10.09,11.71,4
2025.675,-7.280496,112.799389,1.50,25.88,-15.77,171.90,117.98,18.00,23.70,9912,29141,10.49,10.24,2
2025.680,-7.280597,112.799154,1.69,12.78,-4.53,-173.09,-34.61,20.25,-33.38,17377,3513,12.23,10.12,4
2025.685,-7.280501,112.799480,1.90,-31.50,-6.81,-137.01,169.67,22.50,-3.56,6453,7685,11.24,10.76,1
2025.690,-7.280438,112.799779,0.83,-18.15,-5.45,48.97,179.02,24.75,8.20,10114,503,12.43,12.51,2
2025.695,-7.280795,112.798941,0.77,33.03,-11.22,46.72,-26.90,27.00,6.10,11047,29535,11.12,10.13,3
2025.700,-7.280402,112.799141,2.09,29.59,-24.36,143.85,-22.16,29.25,13.48,8476,25079,11.95,11.07,4
2025.705,-7.280153,112.799339,0.68,13.41,33.22,-33.68,91.16,31.50,-10.08,3588,29626,12.55,10.96,1
2025.710,-7.280259,112.799334,3.35,33.65,4.09,-145.63,83.07,33.75,33.65,26151,19177,10.90,11.92,4
2025.715,-7.280212,112.799698,1.62,-14.76,32.92,-37.59,-50.28,36.00,27.13,15475,10689,10.72,12.53,2
2025.720,-7.280943,112.799837,3.33,-25.97,28.99,-164.87,39.91,38.25,-21.08,20619,7299,11.94,11.25,0
2025.725,-7.281081,112.799274,0.68,1.40,1.46,-98.56,43.95,40.50,-22.02,29370,16764,11.08,10.75,1
2025.730,-7.280528,112.799897,3.44,-12.25,-22.24,128.47,159.05,42.75,-12.68,1956,27722,12.49,12.56,3
2025.735,-7.280797,112.799359,2.87,24.41,39.81,124.00,163.87,45.00,3.30,4104,20128,12.04,11.10,1
2025.740,-7.280337,112.799356,3.24,4.06,-7.40,-134.48,131.99,47.25,-26.22,10331,19504,11.96,11.84,0
2025.745,-7.280276,112.800138,2.33,-1.33,-18.34,19.23,83.95,49.50,-13.09,5432,3757,12.32,10.98,4
2025.750,-7.280768,112.799832,1.07,19.28,5.51,-49.12,165.90,51.75,23.53,26270,11604,12.24,11.76,3
2025.755,-7.280489,112.799904,2.27,28.29,21.37,-5.99,137.13,54.00,-21.11,19042,9,10.11,11.45,4
2025.760,-7.281168,112.799653,0.47,-26.96,23.07,119.07,10.92,56.25,22.08,18353,19912,12.24,11.44,1
2025.765,-7.281268,112.799685,0.91,17.73,14.81,-11.59,-110.06,58.50,9.68,27112,4532,12.32,10.34,2
2025.770,-7.281184,112.800185,2.47,3.10,21.75,171.80,113.20,60.75,6.78,384,27664,10.51,12.09,3
2025.775,-7.281201,112.800434,1.51,-25.99,29.93,-160.39,-119.95,63.00,-16.30,10771,26752,12.51,10.48,1
2025.780,-7.281038,112.799764,0.29,-4.70,-32.02,-31.56,19.84,65.25,-24.22,10513,19155,10.87,10.60,2
2025.785,-7.281052,112.799817,0.51,6.36,2.02,-35.51,97.92,67.50,-25.78,927,14857,10.24,11.82,0
2025.790,-7.280610,112.799658,0.79,18.50,-23.65,53.32,119.19,69.75,33.19,18477,8661,11.81,11.64,3
2025.795,-7.280775,112.800594,1.68,-33.34,-29.36,127.60,138.12,72.00,14.40,11681,11821,11.96,10.35,0
2025.800,-7.280982,112.800209,2.85,28.59,-0.38,150.35,115.63,74.25,33.42,3994,27122,12.05,11.15,2
2025.805,-7.281248,112.800211,2.63,20.88,-36.39,64.89,-163.17,76.50,1.22,2970,15072,11.04,10.26,2
2025.810,-7.281693,112.800374,3.30,16.42,14.86,-1.51,-162.09,78.75,-14.75,11259,116,10.58,12.47,2
2025.815,-7.281344,112.800373,3.21,13.34,-15.83,-77.32,132.96,81.00,-7.17,2767,7470,12.42,11.46,1
2025.820,-7.280960,112.800753,2.02,-16.73,-13.75,-160.80,-76.04,83.25,-28.56,29099,20303,10.70,11.93,2
2025.825,-7.281002,112.799957,2.79,35.56,38.22,48.22,-97.31,85.50,-4.82,29844,20853,10.37,11.69,1
2025.830,-7.281644,112.800499,1.77,23.13,-12.83,131.71,-145.76,87.75,-7.54,13408,12174,12.45,12.59,0
2025.835,-7.281378,112.800209,2.12,-12.63,15.75,32.27,106.64,90.00,-6.16,19411,3101,11.29,11.68,2
2025.840,-7.281760,112.800239,1.84,20.84,-33.36,3.39,47.51,92.25,-19.95,15112,23009,12.57,12.41,2
2025.845,-7.281767,112.799929,1.06,-21.77,9.67,52.74,64.52,94.50,28.40,1628,7669,11.76,11.39,1
2025.850,-7.282169,112.800830,0.06,-0.98,-33.40,-94.27,172.56,96.75,-29.05,20091,12079,11.26,12.18,0
2025.855,-7.281414,112.799968,3.43,-14.83,39.33,-10.00,14.78,99.00,5.30,22096,533,11.01,11.02,2
2025.860,-7.282252,112.800469,1.02,26.44,10.35,33.57,-8.62,101.25,-1.11,15625,15031,10.31,11.14,4
2025.865,-7.281447,112.799910,1.96,7.74,-31.60,127.14,-23.58,103.50,-10.17,22076,11343,11.82,11.48,2
2025.870,-7.281923,112.800373,3.39,17.81,27.50,171.72,136.81,105.75,-14.63,14877,12273,11.43,10.50,1
2025.875,-7.281703,112.800397,2.52,-21.24,21.28,-39.15,-90.91,108.00,-16.15,766,8163,11.86,11.35,3
2025.880,-7.281661,112.800551,0.68,7.27,-8.03,3.28,58.07,110.25,-3.08,12766,9259,11.00,12.07,4
2025.885,-7.282508,112.800724,2.46,-39.24,-22.56,-9.56,-81.24,112.50,-18.10,14196,21645,12.40,10.93,0
2025.890,-7.282131,112.800769,2.51,-29.55,-30.61,-27.95,133.32,114.75,-18.99,22870,11464,12.05,10.77,3
2025.895,-7.282029,112.800111,2.82,-13.14,12.72,-60.87,-79.62,117.00,-19.48,8891,25637,10.07,10.46,0
2025.900,-7.281946,112.800445,2.92,0.26,23.79,-55.92,-103.51,119.25,-16.17,27657,1466,10.42,10.51,1
2025.905,-7.282104,112.800435,0.78,-5.90,-30.58,128.03,-7.80,121.50,6.92,22096,9605,12.01,12.08,3
2025.910,-7.282670,112.800625,1.29,16.51,21.88,104.61,-68.65,123.75,-3.85,1111,8904,11.09,10.53,4
2025.915,-7.282810,112.800553,1.88,-26.89,7.65,51.06,-82.89,126.00,2.32,20081,27682,10.97,10.59,4
2025.920,-7.282171,112.799850,2.43,37.78,24.29,-101.33,1.09,128.25,16.71,24930,15477,11.37,11.30,2
2025.925,-7.282358,112.799778,0.98,-12.23,23.34,158.12,-83.57,130.50,24.41,17270,10880,10.00,10.93,2
2025.930,-7.282809,112.799791,0.99,14.68,-14.86,8.69,158.39,132.75,20.62,29692,23345,12.10,10.42,1
2025.935,-7.283001,112.799663,2.40,22.06,36.14,-80.62,-29.35,135.00,21.93,22432,22465,11.82,11.24,2
2025.940,-7.282927,112.800485,0.05,-0.39,-29.22,-66.60,-138.84,137.25,-23.08,26028,28618,11.21,11.37,0
2025.945,-7.282565,112.799941,0.96,30.72,-30.61,113.75,38.29,139.50,-33.52,164,26446,11.54,12.33,4
2025.950,-7.283076,112.799461,0.35,23.36,38.95,-111.40,-65.53,141.75,21.47,15102,11852,10.48,11.89,1
2025.955,-7.283263,112.799564,1.25,21.13,15.31,-71.64,-92.90,144.00,-2.43,15164,24950,12.37,12.05,2
2025.960,-7.282825,112.799382,1.59,-19.25,4.40,115.19,18.22,146.25,-32.20,12582,4017,10.92,10.83,3
2025.965,-7.282723,112.800088,2.61,6.67,-24.79,-88.33,30.18,148.50,-17.51,17741,24366,11.19,12.08,1
2025.970,-7.282866,112.799260,2.50,37.51,20.66,114.70,26.57,150.75,-3.19,3583,12132,11.57,10.25,0
2025.975,-7.283105,112.799308,1.23,27.63,1.38,73.61,-10.87,153.00,7.47,20141,16040,12.43,12.45,2
2025.980,-7.283046,112.799980,3.36,-7.46,36.58,-72.05,137.88,155.25,26.84,27028,3164,10.05,12.26,0
2025.985,-7.282967,112.799812,2.11,-38.63,6.73,89.73,-94.86,157.50,-27.61,22009,27478,12.40,11.73,4
2025.990,-7.283495,112.799604,3.31,-18.88,38.70,-160.53,-109.00,159.75,22.53,5816,18716,12.16,10.61,3
2025.995,-7.283479,112.799220,1.04,-6.86,12.00,95.30,-56.61,162.00,-25.87,28774,27863,10.32,10.38,0
2026.000,-7.282891,112.799354,1.72,-29.71,38.63,126.15,-118.05,164.25,-8.18,16091,7702,10.71,12.19,1
2026.005,-7.282980,112.799146,2.02,5.40,-12.27,118.89,-132.03,166.50,-12.17,2001,8669,11.26,11.85,2
2026.010,-7.283066,112.798832,2.38,-10.54,-30.81,63.36,18.61,168.75,-16.48,19614,1548,11.05,11.81,4
2026.015,-7.283321,112.799505,1.37,17.85,23.18,38.31,40.29,171.00,-20.47,19096,11185,10.92,11.76,0
2026.020,-7.283662,112.798670,0.33,21.21,-7.41,56.53,-117.63,173.25,15.83,13057,12978,11.56,10.11,2
2026.025,-7.283509,112.799304,0.80,29.61,9.33,-167.41,-75.79,175.50,26.46,20621,25297,12.13,11.19,1
2026.030,-7.283579,112.798900,3.06,-17.73,-22.07,-128.34,127.10,177.75,14.04,2011,21707,10.69,11.66,2
2026.035,-7.283129,112.798521,2.29,-19.60,-15.00,110.58,13.06,180.00,6.52,12811,22297,12.58,12.08,3
2026.040,-7.283034,112.798712,3.09,-6.59,5.42,67.76,117.62,182.25,-29.30,5107,19660,10.49,10.96,2
2026.045,-7.283175,112.799012,0.91,2.54,-30.81,-7.06,84.81,184.50,-12.42,21487,3544,11.48,11.63,1
2026.050,-7.283741,112.798418,1.78,-31.81,13.45,66.05,65.86,186.75,13.02,27414,27365,12.19,10.27,0
2026.055,-7.283677,112.798290,0.31,31.34,20.74,94.24,-170.04,189.00,30.56,2222,27748,10.61,11.74,1
2026.060,-7.283270,112.798062,0.21,-13.11,-8.77,-69.06,53.13,191.25,14.89,8419,2889,11.11,11.00,2
2026.065,-7.283515,112.798657,1.32,-29.26,-6.62,179.66,13.07,193.50,-1.10,24915,25336,11.55,10.21,2
2026.070,-7.283623,112.798583,3.50,9.51,8.17,-128.84,74.64,195.75,32.61,10651,20377,12.37,11.34,4
2026.075,-7.283459,112.797920,0.43,0.82,38.78,-68.96,-31.64,198.00,20.53,25754,8454,10.23,12.27,2
2026.080,-7.283118,112.797777,2.16,-5.07,-23.69,6.31,29.37,200.25,31.28,4633,14817,10.63,10.40,1
2026.085,-7.282990,112.798658,2.06,-36.46,-11.75,-78.38,-176.61,202.50,-26.27,657,14476,12.47,10.05,1
2026.090,-7.283142,112.798434,1.95,10.06,-24.36,-19.18,62.27,204.75,2.07,8667,10659,11.70,11.78,0
2026.095,-7.283492,112.797769,3.47,7.59,30.71,129.26,89.61,207.00,2.80,807,12512,10.56,12.16,3
2026.100,-7.283057,112.797905,3.30,26.16,39.06,-127.16,-118.95,209.25,2.76,12175,7347,10.81,12.06,3
2026.105,-7.283639,112.797752,2.25,-35.18,-21.59,124.42,-169.15,211.50,-18.08,24006,23610,10.09,12.37,1
2026.110,-7.283412,112.797758,1.52,16.23,-18.80,-78.45,-133.50,213.75,-10.95,4355,19678,11.14,12.26,2
2026.115,-7.282686,112.797835,3.06,26.08,-24.37,-2.45,25.27,216.00,-12.97,1084,5528,11.63,11.04,0
2026.120,-7.283528,112.798013,2.80,-24.98,32.15,-63.50,26.98,218.25,4.52,19284,4597,11.60,10.50,1
2026.125,-7.283376,112.797219,1.30,15.05,-25.21,145.18,-100.95,220.50,23.86,3214,1267,11.44,12.02,2
2026.130,-7.283029,112.797571,1.83,11.23,-24.43,67.63,79.38,222.75,-14.98,25444,12556,10.78,11.34,1
2026.135,-7.282983,112.797378,1.78,-21.86,-5.13,116.76,128.98,225.00,5.50,19033,21704,11.51,10.19,0
2026.140,-7.283286,112.797161,2.94,22.06,26.10,-33.63,-38.62,227.25,-6.65,27342,6192,11.28,10.23,3
2026.145,-7.282671,112.797327,3.40,-39.17,-19.55,179.10,168.15,229.50,-17.04,29978,24519,10.92,11.22,1
2026.150,-7.282461,112.797028,3.36,34.14,25.21,-27.50,-95.05,231.75,-34.80,9359,9133,11.19,10.97,3
2026.155,-7.282412,112.797421,0.07,-16.96,6.10,-21.75,-100.61,234.00,15.07,2067,1205,11.17,10.19,1
