timestamp,Lat,Long,yaw,Accel_X,Accel_Y,Accel_Z
2274480,-7.283330,112.798053,198.00,-0.88,-0.06,1.54
2274490,-7.282824,112.797874,200.25,-1.87,-0.94,-0.63
2274500,-7.282787,112.798007,202.50,-0.02,-0.67,-0.98
2274510,-7.283118,112.798253,204.75,-0.19,0.09,-1.00
2274520,-7.282891,112.798250,207.00,-0.44,1.52,-1.41
2274530,-7.283284,112.797807,209.25,-0.44,0.18,-0.47
2274540,-7.283324,112.798073,211.50,-0.49,0.81,0.15
2274550,-7.282975,112.798042,213.75,1.21,-1.64,1.14
2274560,-7.283203,112.798238,216.00,1.56,-0.36,1.04
2274570,-7.282718,112.797356,218.25,1.83,-0.37,-1.87
2274580,-7.283401,112.797968,220.50,1.94,-0.28,-0.44
2274590,-7.282518,112.797822,222.75,1.14,0.49,-0.20
2274600,-7.283014,112.797854,225.00,-0.92,1.58,1.23
2274610,-7.282689,112.797440,227.25,0.83,-0.16,-1.16
2274620,-7.282690,112.796998,229.50,-1.39,-0.65,0.27
2274630,-7.282910,112.797634,231.75,1.49,-1.47,-0.27
2274640,-7.283004,112.797133,234.00,-1.04,-0.25,-1.25
2274650,-7.282679,112.797027,236.25,-0.72,1.01,-1.52
2274660,-7.282492,112.797285,238.50,-1.91,1.52,1.14
2274670,-7.282101,112.796874,240.75,-0.84,-0.86,-1.77
2274680,-7.282798,112.796954,243.00,-1.11,-0.90,-1.08
2274690,-7.282355,112.797124,245.25,-0.05,-0.93,1.30
2274700,-7.282104,112.797163,247.50,1.88,-1.87,-0.71
2274710,-7.282295,112.796597,249.75,0.46,-1.22,-1.35
2274720,-7.282201,112.796802,252.00,0.99,-1.45,0.64
2274730,-7.281843,112.796421,254.25,0.22,-1.67,-0.03
2274740,-7.282339,112.796746,256.50,-1.79,-0.20,1.64
2274750,-7.281780,112.796466,258.75,0.88,1.04,0.19
2274760,-7.281951,112.797001,261.00,0.19,-0.44,-1.72
2274770,-7.281317,112.796610,263.25,1.57,0.40,-0.13
2274780,-7.281727,112.796310,265.50,1.59,0.71,-1.82
2274790,-7.281152,112.796364,267.75,-1.25,-1.56,-0.99
2274800,-7.281173,112.797144,270.00,-1.61,1.88,1.49
2274810,-7.280967,112.797072,272.25,-1.39,-1.99,1.67
2274820,-7.281332,112.796732,274.50,0.16,-1.08,-1.79
2274830,-7.281062,112.796886,276.75,1.90,0.89,-1.48
2274840,-7.280835,112.796194,279.00,0.38,0.35,1.83
2274850,-7.281541,112.796508,281.25,1.85,0.16,0.39
2274860,-7.281254,112.796285,283.50,0.41,1.90,0.31
2274870,-7.281296,112.796411,285.75,0.56,0.26,0.10
2274880,-7.280837,112.796507,288.00,1.21,1.22,0.34
2274890,-7.280542,112.796712,290.25,0.11,-0.97,-1.07
2274900,-7.280461,112.796576,292.50,-0.52,-0.08,1.95
2274910,-7.280340,112.796780,294.75,1.06,0.11,-1.61
2274920,-7.280022,112.797206,297.00,1.37,-0.57,1.09
2274930,-7.280794,112.797000,299.25,-0.94,-1.98,-1.87
2274940,-7.280483,112.796699,301.50,0.76,1.10,0.44
2274950,-7.280383,112.796836,303.75,0.11,-0.60,0.67
2274960,-7.280369,112.796784,306.00,0.79,1.05,-1.68
2274970,-7.279735,112.797365,308.25,-0.71,0.76,-0.04
2274980,-7.279610,112.796956,310.50,-1.81,0.19,1.79
