timestamp,Set_angle(Deg),ADC_Value(mV), Calc_Servo_Angle(Deg)
4900,0.00,1653,-0.49
5000,0.00,1655,-0.38
5100,0.00,1613,-2.87
5200,0.00,1665,0.22
5300,0.00,1656,-0.32
5400,0.00,1656,-0.32
5500,0.00,1669,0.46
5600,0.00,1595,-3.95
5700,0.00,1655,-0.38
5800,0.00,1662,0.04
5900,0.00,1653,-0.49
6000,0.00,1669,0.46
6100,0.00,1669,0.46
6200,0.00,1669,0.46
6300,0.00,1655,-0.38
6400,0.00,1691,1.77
6500,0.00,1662,0.04
6600,0.00,1662,0.04
6700,0.00,1662,0.04
6800,0.00,1666,0.28
6900,0.00,1666,0.28
7000,0.00,1653,-0.49
7100,0.00,1655,-0.38
7200,0.00,1656,-0.32
7300,0.00,1656,-0.32
7400,0.00,1651,-0.61
7500,0.00,1674,0.75
7600,0.00,1656,-0.32
7700,0.00,1655,-0.38
7800,0.00,1666,0.28
7900,0.00,1662,0.04
8000,0.00,1656,-0.32
8100,0.00,1662,0.04
8200,0.00,1591,-4.18
8300,0.00,1660,-0.08
8400,0.00,1646,-0.91
8500,0.00,1656,-0.32
8600,0.00,1653,-0.49
8700,0.00,1662,0.04
8800,0.00,1655,-0.38
8900,0.00,1655,-0.38
9000,0.00,1667,0.34
9100,0.00,1655,-0.38
9200,0.00,1655,-0.38
9300,0.00,1662,0.04
9400,0.00,1656,-0.32
9500,0.00,1665,0.22
9600,0.00,1656,-0.32
9700,0.00,1662,0.04
9800,0.00,1655,-0.38
9900,0.00,1666,0.28
10000,0.00,1655,-0.38
10100,5.00,1666,0.28
10200,5.00,1732,4.21
10300,5.00,1761,5.93
10400,5.00,1730,4.09
10500,5.00,1725,3.79
10600,5.00,1725,3.79
10700,5.00,1733,4.27
10800,5.00,1735,4.38
10900,5.00,1727,3.91
11000,5.00,1733,4.27
11100,5.00,1727,3.91
11200,5.00,1727,3.91
11300,5.00,1730,4.09
11400,5.00,1734,4.32
11500,5.00,1730,4.09
11600,5.00,1730,4.09
11700,5.00,1732,4.21
11800,5.00,1727,3.91
11900,5.00,1732,4.21
12000,5.00,1735,4.38
12100,5.00,1727,3.91
12200,5.00,1729,4.03
12300,5.00,1730,4.09
12400,5.00,1727,3.91
12500,5.00,1727,3.91
12600,5.00,1732,4.21
12700,5.00,1732,4.21
12800,5.00,1725,3.79
12900,5.00,1732,4.21
13000,5.00,1730,4.09
13100,5.00,1727,3.91
13200,5.00,1725,3.79
13300,5.00,1727,3.91
13400,5.00,1732,4.21
13500,5.00,1727,3.91
13600,5.00,1721,3.55
13700,5.00,1732,4.21
13800,5.00,1732,4.21
13900,5.00,1739,4.62
14000,5.00,1756,5.63
14100,5.00,1735,4.38
14200,5.00,1722,3.61
14300,5.00,1727,3.91
14400,5.00,1732,4.21
14500,5.00,1730,4.09
14600,5.00,1730,4.09
14700,5.00,1732,4.21
14800,5.00,1723,3.67
14900,5.00,1727,3.91
15000,5.00,1732,4.21
15100,5.00,1725,3.79
15200,5.00,1727,3.91
15300,5.00,1735,4.38
15400,5.00,1730,4.09
15500,5.00,1727,3.91
15600,5.00,1732,4.21
15700,5.00,1729,4.03
15800,5.00,1727,3.91
15900,5.00,1727,3.91
16000,5.00,1738,4.56
16100,5.00,1725,3.79
16200,5.00,1721,3.55
16300,5.00,1724,3.73
16400,5.00,1729,4.03
16500,5.00,1732,4.21
16600,5.00,1725,3.79
16700,5.00,1727,3.91
16800,5.00,1725,3.79
16900,5.00,1732,4.21
17000,5.00,1732,4.21
17100,5.00,1732,4.21
17200,5.00,1730,4.09
17300,5.00,1733,4.27
17400,5.00,1732,4.21
17500,5.00,1732,4.21
17600,5.00,1732,4.21
17700,5.00,1732,4.21
17800,5.00,1732,4.21
17900,5.00,1735,4.38
18000,5.00,1734,4.32
18100,5.00,1730,4.09
18200,5.00,1727,3.91
18300,5.00,1727,3.91
18400,5.00,1742,4.80
18500,5.00,1723,3.67
18600,5.00,1732,4.21
18700,5.00,1732,4.21
